_id,FSAPostalCombined,Name_of_Dog,Breed,Color,Ward_Number,Ward_Name,Bite_Circumstance,Location_of_Incident,Date_of_Dangerous_Act
69,M6M 3V8,CRONUS,MASTIFF / CANE CORSO,SABLE / BROWN,05,York South-Weston,SEVERE,OWNERS PROPERTY,2020-08-01
70,M6K 1N3,ZIGGY,HOUND,BLACK / BROWN,04,Parkdale-High Park,SEVERE,OTHER PRIVATE PROPERTY,2020-08-14
71,M2J 4G7,ROCCO,ALASKAN HUSKY,RED / WHITE,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2020-08-31
72,M2J 4G7,LUNA,SIBERIAN HUSKY,WHITE / BLACK,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2020-08-31
73,M4K 1X5,RABBIT,LABRADOR RETR / AMER BULLDOG,WHITE / TAN,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2020-09-03
74,M1K 3W5,MEEKA,AKITA,TAN / WHITE,21,Scarborough Centre,SEVERE,PUBLIC PROPERTY,2020-09-08
75,M4C 2G5,COCO,AMER BULLDOG,WHITE / BROWN,19,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,2020-09-13
76,M4J,ROCKY,BELG MALINOIS,BROWN,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2020-09-21
77,M4V,NETWORK,GERM SHEPHERD,BLACK / TAN,12,Toronto-St. Paul's,NON SEVERE,OWNERS PROPERTY,2020-09-23
78,M5A 0E9,BODHI,AMER BULLDOG MIX,BROWN / WHITE,13,Toronto Centre,SEVERE,PARK - LEASH FREE AREA,2020-10-20
79,M4E 3V6,SERA,GERM SHEPHERD / AMER BULLDOG,BR BRINDLE / WHITE,19,Beaches-East York,SEVERE,PUBLIC PROPERTY,2020-11-10
80,M1K 1L3,ZEUS,MASTIFF / DOGO ARGENTINO,BL BRINDLE / WHITE,20,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,2020-11-15
81,M2J,MAJOR,AMER BULLDOG / ROTTWEILER,TAN,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2020-12-19
82,M1V,LION,GERM SHEPHERD,BLACK / TAN,22,Scarborough-Agincourt,NON SEVERE,PUBLIC PROPERTY,2021-01-24
83,M9R 1T4,SASHA,AKITA,WHITE / TAN,01,Etobicoke North,SEVERE,PARK - LEASH REQUIRED AREA,2021-01-26
84,M3H,DASH,GERM SHEPHERD MIX,BLACK / BROWN,06,York Centre,NON SEVERE,PUBLIC PROPERTY,2021-02-21
85,M5N,STORM,NS DUCK TOLLING,RED,08,Eglinton-Lawrence,NON SEVERE,OWNERS PROPERTY,2021-02-25
86,M9A,ZEUS,AMER BULLDOG MIX,BLACK / WHITE,02,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2021-03-05
87,M9B,KAI,MASTIFF,RED,02,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2021-03-18
88,M4J 2G5,XENA,AMER BULLDOG,BLACK,14,Toronto-Danforth,SEVERE,OTHER PRIVATE PROPERTY,2021-04-08
89,M6N,ZATAR,DOGO ARGENTINO,WHITE,05,York South-Weston,NON SEVERE,OTHER PRIVATE PROPERTY,2021-05-09
90,M6N,HABIBA,DOGO ARGENTINO,WHITE,05,York South-Weston,NON SEVERE,OTHER PRIVATE PROPERTY,2021-05-09
91,M3A,PEPPER,BOXER,BR BRINDLE / WHITE,16,Don Valley East,NOT A BITE,PUBLIC PROPERTY,2021-05-11
92,M6A,GREYDEE,COCKER SPAN,BLUE TICK,08,Eglinton-Lawrence,NOT A BITE,OTHER PRIVATE PROPERTY,2021-05-17
93,M3C,KUSH,BULLDOG MIX,BLACK / WHITE,16,Don Valley East,NON SEVERE,OWNERS PROPERTY,2021-06-02
94,M1M 2E8,REX,GERM SHEPHERD,BLACK / TAN,20,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,2021-06-09
95,M1R,LOVE,GREAT DANE,BROWN / WHITE,21,Scarborough Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2021-06-19
96,M5R 2P1,BRADY,CANE CORSO,ORANGE / BL BRINDLE,11,University-Rosedale,SEVERE,OTHER PRIVATE PROPERTY,2021-06-21
97,M3B,SHADOW,GERM SHEPHERD,BLACK / YELLOW,16,Don Valley East,NON SEVERE,PUBLIC PROPERTY,2021-06-27
98,M1L 3T9,ROMEO,BULL TERRIER,BLACK / WHITE,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2021-08-04
99,M1V 1K9,TEDDY,CHOW CHOW,RED,23,Scarborough North,SEVERE,PUBLIC PROPERTY,2021-08-31
100,M1V 1K9,BLUE,CHOW CHOW,RED,23,Scarborough North,SEVERE,PUBLIC PROPERTY,2021-08-31
101,M4J 4A3,KLONDIKE,GREYHOUND,BUFF,14,Toronto-Danforth,SEVERE,OWNERS PROPERTY,2021-09-18
102,M3K,KHAN,BOXER / MASTIFF,BR BRINDLE,06,York Centre,NON SEVERE,PARK - LEASH REQUIRED AREA,2021-09-20
103,M6H 4B3,MYLES,AMERICAN STAFF / AMER BULLDOG,YELLOW,09,Davenport,SEVERE,OTHER PRIVATE PROPERTY,2021-09-24
104,M9C,MAGNUS,ROTTWEILER / GERM SHEPHERD,BLACK / TAN,02,Etobicoke Centre,NOT A BITE,OTHER PRIVATE PROPERTY,2021-10-06
105,M1B 3V6,PRINCE,BOXER,BROWN,23,Scarborough North,SEVERE,PUBLIC PROPERTY,2021-10-07
106,M1N,ZEUS,BULLMASTIFF MIX,BR BRINDLE,20,Scarborough Southwest,NON SEVERE,PUBLIC PROPERTY,2021-10-07
107,M6G 2T4,RUSTY,BORDER COLLIE / MASTIFF,BLACK / WHITE,11,University-Rosedale,SEVERE,OTHER PRIVATE PROPERTY,2021-10-11
108,M4E 2S6,SHEWY,DOGO ARGENTINO,WHITE,19,Beaches-East York,SEVERE,OTHER PRIVATE PROPERTY,2021-10-27
109,M9A,RYE,CHOW CHOW / LABRADOR RETR,YELLOW,02,Etobicoke Centre,NON SEVERE,PUBLIC PROPERTY,2021-11-13
110,M1S 1B6,ZEUS,DOGO ARGENTINO,WHITE,22,Scarborough-Agincourt,SEVERE,OTHER PRIVATE PROPERTY,2022-01-12
111,M2N,JOEY,GERM SHEPHERD,TAN / BLACK,18,Willowdale,NON SEVERE,PUBLIC PROPERTY,2022-01-13
112,M4L 1Y3,MAYA,LABRADOR RETR / BOSTON TERRIER,BLACK / WHITE,14,Toronto-Danforth,SEVERE,PARK - LEASH REQUIRED AREA,2022-01-19
113,M4A,GRIFFIN,ROTTWEILER / LABRADOR RETR,BR BRINDLE / BLACK,16,Don Valley East,NON SEVERE,PARK - LEASH FREE AREA,2022-01-26
114,M9R 1S5,VENOM,BELG MALINOIS,BROWN / BLACK,02,Etobicoke Centre,SEVERE,OTHER PRIVATE PROPERTY,2022-02-02
115,M1G 1P9,REMY,AMER BULLDOG,WHITE / BR BRINDLE,24,Scarborough-Guildwood,SEVERE,PARK - LEASH REQUIRED AREA,2022-02-05
116,M9M,BONES,BORDER COLLIE / LABRADOR RETR,BLACK / WHITE,07,Humber River-Black Creek,NON SEVERE,PUBLIC PROPERTY,2022-02-10
117,M4C,HUNDO,GERM SHEPHERD / LABRADOR RETR,BLACK / BROWN,19,Beaches-East York,NOT A BITE,OTHER PRIVATE PROPERTY,2022-02-20
118,M5J,TATSU,AKITA,WHITE / BLACK,10,Spadina-Fort York,NON SEVERE,PUBLIC PROPERTY,2022-03-15
119,M3J,MILO,AMER BULLDOG,BR BRINDLE / WHITE,07,Humber River-Black Creek,NON SEVERE,PUBLIC PROPERTY,2022-03-18
120,M5S,ODIN,SIBERIAN HUSKY,GREY / WHITE,11,University-Rosedale,NON SEVERE,PUBLIC PROPERTY,2022-04-23
121,M4Y 1H4,BROCCOLI,CAROLINA DOG MIX,TAN,13,Toronto Centre,SEVERE,OTHER PRIVATE PROPERTY,2022-04-25
122,M4J 3R2,KING,ROTTWEILER,BLACK / BROWN,14,Toronto-Danforth,SEVERE,PARK - LEASH FREE AREA,2022-05-11
123,M6R 1Y4,MAIA,ROTTWEILER / LABRADOR RETR,BLACK / TAN,04,Parkdale-High Park,SEVERE,PUBLIC PROPERTY,2022-05-14
124,M2J 4V7,PABLO,OLD ENG BULLDOG,BLUE,17,Don Valley North,SEVERE,OTHER PRIVATE PROPERTY,2022-05-17
125,M4V 1Z1,BEATRIX,WEIMARANER,GREY,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2022-05-20
126,M5R 3A5,MOOSE,BOSTON TERRIER,BROWN / WHITE,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2022-05-27
127,M4J 1H6,SHYLA,AMER BULLDOG MIX,BROWN,14,Toronto-Danforth,SEVERE,OTHER PRIVATE PROPERTY,2022-06-09
128,M9N 2L4,REINA,AMER BULLDOG MIX,GREY,05,York South-Weston,SEVERE,OWNERS PROPERTY,2022-06-12
129,M9N 2L4,PATRON,CANE CORSO MIX,GREY,05,York South-Weston,SEVERE,OWNERS PROPERTY,2022-06-12
130,M6K 3R4,KEIKO,WHIPPET / VIZSLA,BROWN,10,Spadina-Fort York,SEVERE,PUBLIC PROPERTY,2022-06-14
131,M1L 0B4,MOLLY,LABRADOR RETR,YELLOW,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2022-06-15
132,M4P,KATO,CHOW CHOW / SIBERIAN HUSKY,TAN,15,Don Valley West,NOT A BITE,OTHER PRIVATE PROPERTY,2022-06-22
133,M1N,MAKEUP,BULLMASTIFF / AM PIT BULL TER,BROWN / WHITE,20,Scarborough Southwest,NON SEVERE,PARK - LEASH FREE AREA,2022-06-24
134,M1C 3W1,ANUBIS,SIBERIAN HUSKY / AKITA,GREY / BLACK,25,Scarborough-Rouge Park,SEVERE,PARK - LEASH REQUIRED AREA,2022-06-30
135,M6B 2X1,DIGGY,ROTTWEILER / MASTIFF,RED,08,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,2022-07-03
136,M2J 0C8,KALI,AMER BULLDOG,BROWN / WHITE,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2022-07-06
137,M2M 1H3,BLUE,BULLMASTIFF,BROWN,18,Willowdale,SEVERE,OWNERS PROPERTY,2022-07-09
138,M4L,LUNA,ROTTWEILER,BLACK / TAN,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2022-07-09
139,M5R 3E5,CAROL,SIBERIAN HUSKY,BLACK / WHITE,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2022-07-14
140,M5R 3M4,FIN,GERM SHEPHERD,BLACK,11,University-Rosedale,SEVERE,OWNERS PROPERTY,2022-07-14
141,M4L,BELLA,SHIH TZU,BLACK,14,Toronto-Danforth,NON SEVERE,OTHER PRIVATE PROPERTY,2022-07-20
142,M4B 1H6,REMY,ROTTWEILER,BLACK / TAN,19,Beaches-East York,SEVERE,OTHER PRIVATE PROPERTY,2022-07-20
143,M2J,SKY,BORDER COLLIE / LABRADOR RETR,RED / WHITE,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2022-07-26
144,M6C,KAIBO,PORT WATER DOG,BLACK / WHITE,12,Toronto-St. Paul's,NON SEVERE,OTHER PRIVATE PROPERTY,2022-07-26
145,M4L 2Z3,KEELOW,BULLMASTIFF,BR BRINDLE / WHITE,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2022-07-28
146,M4X,ROLO,ENG BULLDOG / BOXER,TAN / WHITE,13,Toronto Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2022-07-28
147,M3J 0G8,TACO,SIBERIAN HUSKY,BROWN / WHITE,06,York Centre,SEVERE,PUBLIC PROPERTY,2022-07-31
148,M2P,CHARLOTTE,GERM SHEPHERD MIX,BLACK,15,Don Valley West,NON SEVERE,PUBLIC PROPERTY,2022-08-04
149,M1B 2T1,MERCY,MASTIFF MIX,BLACK / BROWN,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2022-08-12
150,L9C,BRUNA,RUSSIAN TERRIER,BLACK,04,Parkdale-High Park,NON SEVERE,OTHER PRIVATE PROPERTY,2022-08-15
151,M4X 1G3,BLUE,AMER BULLDOG / BOXER,GREY / WHITE,13,Toronto Centre,SEVERE,PARK - LEASH FREE AREA,2022-08-22
152,M4X 1G3,PEACHES,AM PIT BULL TER / LABRADOR RETR,TAN / WHITE,13,Toronto Centre,SEVERE,PARK - LEASH FREE AREA,2022-08-22
153,M1V 1E1,SATCHEL,SC WHEAT TERR,CREAM,23,Scarborough North,SEVERE,OTHER PRIVATE PROPERTY,2022-08-28
154,M1S 3M3,BENTLEY,OLDENG SHEEPDOG / POODLE STND,BLACK / WHITE,22,Scarborough-Agincourt,SEVERE,OTHER PRIVATE PROPERTY,2022-08-28
155,M1G 1N7,SABER,BORDER COLLIE / AUST CATTLE DOG,BLACK / WHITE,24,Scarborough-Guildwood,SEVERE,OWNERS PROPERTY,2022-08-29
156,M5V,STANLEY,ROTTWEILER / LABRADOR RETR,BROWN / BLACK,10,Spadina-Fort York,NON SEVERE,PARK - LEASH FREE AREA,2022-09-06
157,M4M 2P7,ESME,OLD ENG BULLDOG,WHITE / BLACK,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2022-09-17
158,M3B 3K8,PEANUT,GOLDEN RETR / BASSET HOUND,TAN,16,Don Valley East,SEVERE,PUBLIC PROPERTY,2022-09-17
159,M6S,ROMAN,BULLMASTIFF / PRESA CANARIO,FAWN,04,Parkdale-High Park,NON SEVERE,PUBLIC PROPERTY,2022-09-26
160,M4H,MAYA,AM PIT BULL TER / ENG BULLDOG,TAN / WHITE,15,Don Valley West,NON SEVERE,OTHER PRIVATE PROPERTY,2022-10-01
161,M6M 2Z8,FRANKLIN,POODLE STND,BR BRINDLE,05,York South-Weston,SEVERE,PUBLIC PROPERTY,2022-10-05
162,M2L 2M1,ARCHIE,GERM SHEPHERD,BLACK / GOLD,15,Don Valley West,SEVERE,PUBLIC PROPERTY,2022-10-20
163,M3N 2C4,BONNIE,AM PIT BULL TER / ENG BULLDOG,GREY / WHITE,07,Humber River-Black Creek,SEVERE,PARK - LEASH REQUIRED AREA,2022-10-20
164,M6B,HENNESSY,BOXER / MASTIFF,BROWN / WHITE,08,Eglinton-Lawrence,NON SEVERE,PUBLIC PROPERTY,2022-10-23
165,M9P 3R1,MAGNOLIA,ROTTWEILER / GERM SHEPHERD,BLACK / WHITE,01,Etobicoke North,SEVERE,OTHER PRIVATE PROPERTY,2022-10-23
166,M1E 4L1,XENA,PRESA CANARIO,TAN / BLACK,24,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,2022-10-25
167,M2J,RICK,GERM SHEPHERD,BLACK / BROWN,17,Don Valley North,NOT A BITE,OTHER PRIVATE PROPERTY,2022-10-25
168,M2N 4P5,BACON,GERM SHEPHERD,TAN / BLACK,18,Willowdale,SEVERE,PUBLIC PROPERTY,2022-10-31
169,M8W 1L4,TIBERIUS,ROTTWEILER,BLACK / TAN,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2022-11-06
170,M1T,KILO,FRENCH BULLDOG / ENG BULLDOG,GREY / WHITE,22,Scarborough-Agincourt,NON SEVERE,OTHER PRIVATE PROPERTY,2022-11-08
171,M3M,QUEENIE,AM PIT BULL TER / ENG BULLDOG,TAN,06,York Centre,NON SEVERE,PUBLIC PROPERTY,2022-12-04
172,M2J,DIESEL,GERM SHEPHERD,BLACK / TAN,17,Don Valley North,NON SEVERE,PARK - LEASH REQUIRED AREA,2022-12-06
173,M1W 3B5,JACK,CANE CORSO,BLACK / WHITE,22,Scarborough-Agincourt,SEVERE,PUBLIC PROPERTY,2022-12-11
174,M4L 2W6,SAM,LABRADOR RETR,FAWN,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2022-12-22
175,M6K 3N4,MABEL,HOUND / BEAGLE,WHITE / BLACK,10,Spadina-Fort York,SEVERE,PARK - LEASH REQUIRED AREA,2023-01-12
176,M4K 3N3,BISHOP,GERM SH POINT,BROWN / WHITE,14,Toronto-Danforth,VERY SEVERE,PUBLIC PROPERTY,2023-02-21
177,M4P,CHARLES,GREAT PYRENEES / GOLDEN RETR,WHITE,12,Toronto-St. Paul's,NON SEVERE,PUBLIC PROPERTY,2023-03-31
178,M2K 1X9,GHOST,GERM SHEPHERD,BLACK,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2023-04-08
179,M4C,CALLIE,BULLMASTIFF,BLACK / WHITE,19,Beaches-East York,NON SEVERE,PUBLIC PROPERTY,2023-04-13
180,M1J,MOOSE,CANE CORSO,TAN / GREY,21,Scarborough Centre,NOT A BITE,PUBLIC PROPERTY,2023-04-16
181,M3J 1K7,ROMMEL,GERM SHEPHERD,BROWN / BLACK,07,Humber River-Black Creek,SEVERE,OTHER PRIVATE PROPERTY,2023-04-23
182,M5M,HARLEY,AMER BULLDOG,BR BRINDLE,08,Eglinton-Lawrence,NON SEVERE,PUBLIC PROPERTY,2023-04-27
183,M6P 2E5,SHIKA,PATTERDALE TERR / AM PIT BULL TER,BLUE / GREY,04,Parkdale-High Park,SEVERE,PUBLIC PROPERTY,2023-04-28
184,M3L,BEAR,BORDER COLLIE / LABRADOR RETR,BLACK / WHITE,07,Humber River-Black Creek,NON SEVERE,OTHER PRIVATE PROPERTY,2023-05-01
185,M9A 4A7,TRIXIE,LABRADOR RETR / AM PIT BULL TER,BLACK / BR BRINDLE,02,Etobicoke Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-05-02
186,M9A 4A7,TYSON,LABRADOR RETR / AM PIT BULL TER,BLACK,02,Etobicoke Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-05-02
187,M5T,ZEPPELIN,GERM SHEPHERD,BLACK / TAN,11,University-Rosedale,NON SEVERE,OTHER PRIVATE PROPERTY,2023-05-09
188,M4L 2K4,DAISY,GERM SHEPHERD / LABRADOR RETR,BLACK / TAN,19,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,2023-05-11
189,M4J 1S6,LADY,GOLDEN RETR / POODLE STND,WHITE,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2023-05-14
190,M8V,GOHAN,SIBERIAN HUSKY,WHITE / GREY,03,Etobicoke-Lakeshore,NON SEVERE,PARK - LEASH REQUIRED AREA,2023-05-20
191,M1K 2K9,BEAR,MASTIFF MIX,TAN / WHITE,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2023-06-04
192,M1W,LUNA,FILA,BR BRINDLE / WHITE,22,Scarborough-Agincourt,NOT A BITE,PUBLIC PROPERTY,2023-06-06
193,M4J,FRIDA,AUST SHEPHERD,TRICOLOUR,14,Toronto-Danforth,NON SEVERE,PARK - LEASH REQUIRED AREA,2023-06-18
194,M6B 1A3,TYSON,POODLE STND / GOLDEN RETR,TAN,08,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,2023-06-21
195,M4S 1C8,GIGI,AM PIT BULL TER / LABRADOR RETR,TRICOLOUR,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2023-06-23
196,M1R 4N4,HERCEG,MASTIFF,TAN / BLACK,21,Scarborough Centre,SEVERE,OTHER PRIVATE PROPERTY,2023-06-25
197,M6H 1J7,VENTURE,GOLDEN RETR,GOLD,09,Davenport,SEVERE,PUBLIC PROPERTY,2023-06-25
198,M1G 1T7,REIGN,BELG MALINOIS / DUTCH SHEPHERD,BROWN / TAN,24,Scarborough-Guildwood,SEVERE,PUBLIC PROPERTY,2023-06-28
199,M6G 3X9,MAX,BULLDOG MIX,BLACK / WHITE,12,Toronto-St. Paul's,SEVERE,PARK - LEASH REQUIRED AREA,2023-06-29
200,M3A 2R4,ODIN,PRESA CANARIO,BL BRINDLE,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2023-06-29
201,M3A 2R4,FREYJA,AMER BULLDOG MIX,FAWN,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2023-06-29
202,M1M 2S3,COLD AS ICE (ARTIC),LABRADOR RETR,BLACK / WHITE,20,Scarborough Southwest,SEVERE,PARK - LEASH REQUIRED AREA,2023-06-30
203,M9C,LUCIFER,ENG BULLDOG / AM PIT BULL TER,FAWN / WHITE,02,Etobicoke Centre,NOT A BITE,PARK - LEASH REQUIRED AREA,2023-07-03
204,M3A 2R4,ARCHIE,PRESA CANARIO,BR BRINDLE / WHITE,16,Don Valley East,SEVERE,OTHER PRIVATE PROPERTY,2023-07-04
205,M1N,ZORRO,GERM SHEPHERD,BLACK / BROWN,20,Scarborough Southwest,NON SEVERE,PUBLIC PROPERTY,2023-07-07
206,M1C,JADE,BOXER,TAN / WHITE,25,Scarborough-Rouge Park,NOT A BITE,PARK - LEASH REQUIRED AREA,2023-07-10
207,M2N,HICHU,BORDER COLLIE,BLACK / WHITE,18,Willowdale,NOT A BITE,OTHER PRIVATE PROPERTY,2023-07-18
208,M5T,REMY,ROTTWEILER MIX,BLACK,11,University-Rosedale,NON SEVERE,PUBLIC PROPERTY,2023-07-18
209,M4K,DRACO,ROTTWEILER / GERM SHEPHERD,BLACK / BROWN,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2023-07-18
210,M1L,ATHENA,MASTIFF / ROTTWEILER,BROWN / WHITE,20,Scarborough Southwest,NOT A BITE,PUBLIC PROPERTY,2023-07-25
211,M6S 5B2,TILDA,BULL TERRIER,BR BRINDLE / WHITE,04,Parkdale-High Park,SEVERE,PARK - LEASH REQUIRED AREA,2023-07-30
212,M1E 3N5,RAGZ,BERNESE MTN DOG / POODLE STND,BLACK / WHITE,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2023-08-12
213,M3C 1R4,ARCHIE,AMER BULLDOG / MASTIFF,GREY,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2023-08-20
214,M6C 3Y7,MONTY,POODLE STND / BELG MALINOIS,BLACK,09,Davenport,SEVERE,PUBLIC PROPERTY,2023-08-28
215,M3H 3N5,NALA,LABRADOR RETR,BLACK,06,York Centre,SEVERE,PARK - LEASH REQUIRED AREA,2023-09-01
216,M1E,LEVI,GERM SHEPHERD / SIBERIAN HUSKY,BLACK / WHITE,24,Scarborough-Guildwood,NOT A BITE,PUBLIC PROPERTY,2023-09-01
217,M1L 1N7,MOTTO,AMER BULLDOG MIX,GREY / WHITE,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2023-09-04
218,M6G 3K8,MANDO,AUST SHEPHERD,BROWN / WHITE,12,Toronto-St. Paul's,SEVERE,OTHER PRIVATE PROPERTY,2023-09-10
219,M1M 3R2,SIMBA,GOLDEN RETR,GOLD,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2023-09-10
220,M6M,ICE,AMER BULLDOG / CHINESE SHARPEI,BROWN / WHITE,05,York South-Weston,NON SEVERE,OTHER PRIVATE PROPERTY,2023-09-16
221,N3C 4A2,NALA,AMER BULLDOG MIX,BR BRINDLE / WHITE,,No Ward Info,SEVERE,OTHER PRIVATE PROPERTY,2023-09-16
222,M5P 1N6,DOJI,AUST CATTLE DOG / ROTTWEILER,RED / TAN,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2023-09-26
223,M9C 4L9,NAIROBI,AMER BULLDOG,WHITE / TAN,02,Etobicoke Centre,SEVERE,PUBLIC PROPERTY,2023-10-07
224,M1E 2V9,LUNA,GERM SHEPHERD / LABRADOR RETR,BLACK,24,Scarborough-Guildwood,SEVERE,OTHER PRIVATE PROPERTY,2023-10-09
225,M9B,MAX,GOLDEN RETR,GOLD,02,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2023-10-13
226,M5R,TITAN,AMER BULLDOG / AMERICAN STAFF,GREY / WHITE,11,University-Rosedale,NON SEVERE,OTHER PRIVATE PROPERTY,2023-10-20
227,M6M,LEO,PARSON RUSS TER / SHIH TZU,TAN,05,York South-Weston,NOT A BITE,PUBLIC PROPERTY,2023-10-29
228,M4C 4K2,WHEELER,LABRADOR RETR / BOXER,BLACK / WHITE,19,Beaches-East York,SEVERE,PUBLIC PROPERTY,2023-11-05
229,M1K,EXO/AXEL,ROTTWEILER / LABRADOR RETR,BLACK / BROWN,20,Scarborough Southwest,NON SEVERE,PUBLIC PROPERTY,2023-11-15
230,M9R 3Z5,LYRYX,GERM SHEPHERD,BLACK,01,Etobicoke North,SEVERE,OWNERS PROPERTY,2023-11-24
231,M6A 2H9,PENNY,GERM SHEPHERD / COLLIE SMOOTH,BLACK / BROWN,08,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,2023-11-26
232,M6J,GUNNAR,CANE CORSO MIX,FAWN,10,Spadina-Fort York,NON SEVERE,PARK - LEASH FREE AREA,2023-11-28
233,M9N,KYRO,BOXER / DOGO ARGENTINO,BR BRINDLE,05,York South-Weston,NOT A BITE,OTHER PRIVATE PROPERTY,2023-12-07
234,M9P,ROCCO,AM PIT BULL TER / ENG BULLDOG,TAN / WHITE,02,Etobicoke Centre,NON SEVERE,PUBLIC PROPERTY,2023-12-11
235,M8Y,BRADY,ROTTWEILER,BLACK / BROWN,03,Etobicoke-Lakeshore,NOT A BITE,OTHER PRIVATE PROPERTY,2023-12-17
236,M2H 3B7,BENNY,AMER BULLDOG / STAFFORDSHIRE,BR BRINDLE,17,Don Valley North,SEVERE,OWNERS PROPERTY,2023-12-31
237,M4L,OBI WAN,ROTTWEILER,BLACK / BROWN,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2023-12-31
238,M9V 5C2,KOPA,ROTTWEILER,BLACK / TAN,01,Etobicoke North,SEVERE,OTHER PRIVATE PROPERTY,2024-01-09
239,M6G 2T1,LUCA,GOLDEN RETR / AM PIT BULL TER,GREY / WHITE,11,University-Rosedale,SEVERE,PUBLIC PROPERTY,2024-01-20
240,M6J,PHOENIX,ROTTWEILER,BLACK / TAN,09,Davenport,NON SEVERE,PUBLIC PROPERTY,2024-01-27
241,M5A,CALVIN,BORDER COLLIE,BROWN / WHITE,10,Spadina-Fort York,NON SEVERE,PUBLIC PROPERTY,2024-01-28
